article,paragraph,text,E_id,fromID,fromText,toID,toText,relationship,fromSpan,fromVerb,fromPOS,toSpan,toVerb,toPOS
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0038.xml,"Mr. Loeser said he was helping clients assess the kind of attacks they could expect in a hard-fought campaign.
",E0,V0,said,V1,helping,after,11~15,said,VBD,23~30,helping,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0038.xml,"Mr. Loeser said he was helping clients assess the kind of attacks they could expect in a hard-fought campaign.
",E1,V0,said,V2,expect,after,11~15,said,VBD,77~83,expect,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0038.xml,"Mr. Loeser said he was helping clients assess the kind of attacks they could expect in a hard-fought campaign.
",E2,V1,helping,V2,expect,after,23~30,helping,VBG,77~83,expect,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E0,V0,is,V1,got,vague,7~9,is,VBZ,35~38,got,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E1,V0,is,V2,said,vague,7~9,is,VBZ,64~68,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E2,V0,is,V3,been,after,7~9,is,VBZ,201~205,been,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E3,V0,is,V4,have,after,7~9,is,VBZ,228~232,have,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E4,V0,is,V5,run,vague,7~9,is,VBZ,262~265,run,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E5,V0,is,V6,is,simultaneous,7~9,is,VBZ,290~292,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E6,V0,is,V7,does,vague,7~9,is,VBZ,329~333,does,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E7,V1,got,V2,said,after,35~38,got,VBD,64~68,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E8,V1,got,V3,been,vague,35~38,got,VBD,201~205,been,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E9,V1,got,V4,have,vague,35~38,got,VBD,228~232,have,VBP
