article,paragraph,text,E_id,fromID,fromText,toID,toText,relationship,fromSpan,fromVerb,fromPOS,toSpan,toVerb,toPOS
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0038.xml,"Mr. Loeser said he was helping clients assess the kind of attacks they could expect in a hard-fought campaign.
",E0,V0,said,V1,helping,after,11~15,said,VBD,23~30,helping,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E0,V0,is,V1,got,vague,7~9,is,VBZ,35~38,got,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E1,V0,is,V2,said,vague,7~9,is,VBZ,64~68,said,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E2,V0,is,V3,been,after,7~9,is,VBZ,201~205,been,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E3,V0,is,V4,have,after,7~9,is,VBZ,228~232,have,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E5,V0,is,V6,is,simultaneous,7~9,is,VBZ,290~292,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E8,V1,got,V3,been,vague,35~38,got,VBD,201~205,been,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E9,V1,got,V4,have,vague,35~38,got,VBD,228~232,have,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E10,V1,got,V5,run,after,35~38,got,VBD,262~265,run,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E11,V1,got,V6,is,vague,35~38,got,VBD,290~292,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E13,V2,said,V3,been,vague,64~68,said,VBD,201~205,been,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E14,V2,said,V4,have,vague,64~68,said,VBD,228~232,have,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E15,V2,said,V5,run,after,64~68,said,VBD,262~265,run,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E16,V2,said,V6,is,vague,64~68,said,VBD,290~292,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E18,V3,been,V4,have,vague,201~205,been,VBN,228~232,have,VBP
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E19,V3,been,V5,run,vague,201~205,been,VBN,262~265,run,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E22,V4,have,V5,run,vague,228~232,have,VBP,262~265,run,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E24,V4,have,V7,does,vague,228~232,have,VBP,329~333,does,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0004.xml,"“There is this sense that if Trump got it, why shouldn’t they?” said David Gergen, co-director of the Center for Public Leadership at Harvard Kennedy School and an adviser to four presidents. “They’ve been more successful, they have more experience, and they’ve run a public company, which is more equivalent to what a president does than a private company” like the Trump Organization.
",E25,V5,run,V6,is,vague,262~265,run,VBN,290~292,is,VBZ
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0010.xml,"Apart from proven business experience, they have widespread name recognition or identification with major consumer brands. And they have enough money to finance their own campaigns.
",E1,V0,have,V2,finance,vague,44~48,have,VBP,153~160,finance,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0010.xml,"Apart from proven business experience, they have widespread name recognition or identification with major consumer brands. And they have enough money to finance their own campaigns.
",E2,V1,have,V2,finance,vague,132~136,have,VBP,153~160,finance,VB
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E6,V0,spoken,V7,were,vague,5~11,spoken,VBN,180~184,were,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E13,V2,discussed,V3,running,before,59~68,discussed,VBN,88~95,running,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E14,V2,discussed,V4,declined,before,59~68,discussed,VBN,143~151,declined,VBD
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E15,V2,discussed,V5,named,before,59~68,discussed,VBN,158~163,named,VBN
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E16,V2,discussed,V6,discussing,simultaneous,59~68,discussed,VBN,164~174,discussing,VBG
/Users/loewi/Documents/GitHub/cs140-groupB-annotation-files/Jeff/YFLNYT_001,P_0011.xml,"I’ve spoken this week to multiple people who have at least discussed the possibility of running for office with Mr. Schultz and Mr. Iger. (All declined to be named discussing what were private conversations.)
",E17,V2,discussed,V7,were,vague,59~68,discussed,VBN,180~184,were,VBD
