POS1,POS2,BEFORE_1,AFTER_1,BEFORE_2,AFTER_2,DISTANCE,MODAL,TEMP_BEFORE,TEMP_AFTER,TEMP_SINCE,SYN,DERIVATION,RELATION
VBD,VBG,NNP,PRP,VBD,NNS,3,0,0.0,0.0,0.0,0,0,after
VBD,VB,NNP,PRP,MD,IN,12,1,0.0,0.0,0.0,0,0,after
VBG,VB,VBD,NNS,MD,IN,9,1,0.0,0.0,0.0,0,0,after
VBZ,VBD,EX,DT,NNP,PRP,6,0,0.0,0.0,0.0,0,0,vague
VBZ,VBD,EX,DT,NNS,NNP,16,0,0.0,0.0,0.0,0,0,vague
VBZ,VBN,EX,DT,RB,RBR,42,0,0.0,0.0,0.0,1,0,after
VBZ,VBP,EX,DT,PRP,JJR,47,0,0.0,0.0,0.0,0,0,after
VBZ,VBN,EX,DT,JJ,DT,55,0,0.0,0.0,0.0,0,0,vague
VBZ,VBZ,EX,DT,WDT,RBR,61,0,0.0,0.0,0.0,1,1,simultaneous
VBZ,VBZ,EX,DT,NN,IN,68,0,0.0,0.0,0.0,0,0,vague
VBD,VBD,NNP,PRP,NNS,NNP,10,0,0.0,0.0,0.0,0,0,after
VBD,VBN,NNP,PRP,RB,RBR,36,0,0.0,0.0,0.0,0,0,vague
VBD,VBP,NNP,PRP,PRP,JJR,41,0,0.0,0.0,0.0,1,0,vague
VBD,VBN,NNP,PRP,JJ,DT,49,0,0.0,0.0,0.0,1,0,after
VBD,VBZ,NNP,PRP,WDT,RBR,55,0,0.0,0.0,0.0,0,0,vague
VBD,VBZ,NNP,PRP,NN,IN,62,0,0.0,0.0,0.0,1,0,after
VBD,VBN,NNS,NNP,RB,RBR,26,0,0.0,0.0,0.0,0,0,vague
VBD,VBP,NNS,NNP,PRP,JJR,31,0,0.0,0.0,0.0,0,0,vague
VBD,VBN,NNS,NNP,JJ,DT,39,0,0.0,0.0,0.0,0,0,after
VBD,VBZ,NNS,NNP,WDT,RBR,45,0,0.0,0.0,0.0,0,0,vague
VBD,VBZ,NNS,NNP,NN,IN,52,0,0.0,0.0,0.0,0,0,after
VBN,VBP,RB,RBR,PRP,JJR,5,0,0.0,0.0,0.0,0,0,vague
VBN,VBN,RB,RBR,JJ,DT,13,0,0.0,0.0,0.0,0,0,vague
VBN,VBZ,RB,RBR,WDT,RBR,19,0,0.0,0.0,0.0,1,0,before
VBN,VBZ,RB,RBR,NN,IN,26,0,0.0,0.0,0.0,0,0,vague
