POS1,POS2,BEFORE_1,AFTER_1,BEFORE_2,AFTER_2,DISTANCE,MODAL,TEMP_BEFORE,TEMP_AFTER,TEMP_SINCE,SYN,DERIVATION,RELATION
VBD,VBG,NNP,PRP,VBD,NNS,3,0,0.0,0.0,0.0,0,0,after
VBZ,VBD,EX,DT,NNP,PRP,6,0,0.0,0.0,0.0,0,0,vague
VBZ,VBD,EX,DT,NNS,NNP,16,0,0.0,0.0,0.0,0,0,vague
VBZ,VBN,EX,DT,RB,RBR,42,0,0.0,0.0,0.0,1,0,after
VBZ,VBP,EX,DT,PRP,JJR,47,0,0.0,0.0,0.0,0,0,after
VBZ,VBZ,EX,DT,WDT,RBR,61,0,0.0,0.0,0.0,1,1,simultaneous
VBD,VBN,NNP,PRP,RB,RBR,36,0,0.0,0.0,0.0,0,0,vague
VBD,VBP,NNP,PRP,PRP,JJR,41,0,0.0,0.0,0.0,1,0,vague
VBD,VBN,NNP,PRP,JJ,DT,49,0,0.0,0.0,0.0,1,0,after
VBD,VBZ,NNP,PRP,WDT,RBR,55,0,0.0,0.0,0.0,0,0,vague
VBD,VBN,NNS,NNP,RB,RBR,26,0,0.0,0.0,0.0,0,0,vague
VBD,VBP,NNS,NNP,PRP,JJR,31,0,0.0,0.0,0.0,0,0,vague
VBD,VBN,NNS,NNP,JJ,DT,39,0,0.0,0.0,0.0,0,0,after
VBD,VBZ,NNS,NNP,WDT,RBR,45,0,0.0,0.0,0.0,0,0,vague
VBN,VBP,RB,RBR,PRP,JJR,5,0,0.0,0.0,0.0,0,0,vague
VBN,VBN,RB,RBR,JJ,DT,13,0,0.0,0.0,0.0,0,0,vague
VBP,VBN,PRP,JJR,JJ,DT,8,0,0.0,0.0,0.0,0,0,vague
VBP,VBZ,PRP,JJR,NN,IN,21,0,0.0,0.0,0.0,1,0,vague
VBN,VBZ,JJ,DT,WDT,RBR,6,0,0.0,0.0,0.0,0,0,vague
VBP,VB,PRP,JJ,TO,PRP$,17,0,0.0,0.0,0.0,0,0,vague
VBP,VB,PRP,JJ,TO,PRP$,4,0,0.0,0.0,0.0,0,0,vague
VBN,VBD,RB,DT,WP,JJ,32,0,0.0,0.0,0.0,0,0,vague
VBN,VBG,JJS,DT,IN,IN,4,0,0.0,0.0,0.0,0,0,before
VBN,VBD,JJS,DT,DT,TO,16,0,0.0,0.0,0.0,0,0,before
VBN,VBN,JJS,DT,VB,VBG,19,0,0.0,0.0,0.0,0,0,before
VBN,VBG,JJS,DT,VBN,WP,20,0,0.0,0.0,0.0,1,0,simultaneous
VBN,VBD,JJS,DT,WP,JJ,22,0,0.0,0.0,0.0,0,0,vague
VBG,VBN,IN,IN,VB,VBG,15,0,0.0,0.0,0.0,0,0,vague
VBG,VBD,IN,IN,WP,JJ,18,0,0.0,0.0,0.0,0,0,vague
VBD,VBN,DT,TO,VB,VBG,3,0,0.0,0.0,0.0,0,0,before
VBD,VBG,DT,TO,VBN,WP,4,0,0.0,0.0,0.0,0,0,after
VBD,VBD,DT,TO,WP,JJ,6,0,0.0,0.0,0.0,0,0,vague
VBN,VBG,VB,VBG,VBN,WP,1,0,0.0,0.0,0.0,0,0,after
VBN,VBD,VB,VBG,WP,JJ,3,0,0.0,0.0,0.0,1,0,vague
VBG,VBD,VBN,WP,WP,JJ,2,0,0.0,0.0,0.0,0,0,vague
VBP,VBN,PRP,TO,NN,IN,35,1,0.0,1.0,0.0,1,0,vague
VBP,VBN,PRP,TO,RB,TO,49,1,0.0,1.0,0.0,1,0,vague
VBP,VB,PRP,TO,TO,IN,51,1,0.0,1.0,0.0,1,0,vague
VB,VBP,TO,WRB,JJ,IN,5,0,0.0,0.0,0.0,0,0,before
VB,VBD,TO,WRB,NNP,.,16,1,0.0,1.0,0.0,0,0,before
VB,VBZ,TO,WRB,NNP,CD,20,1,0.0,1.0,0.0,0,0,vague
VB,VB,TO,WRB,TO,IN,49,1,0.0,1.0,0.0,0,0,vague
VB,VBD,TO,WRB,NNP,NN,53,1,0.0,1.0,0.0,0,0,vague
VBP,VBD,JJ,IN,NNP,.,11,1,0.0,1.0,0.0,0,0,after
VBP,VBZ,JJ,IN,NNP,CD,15,1,0.0,1.0,0.0,1,0,vague
VBP,VBD,JJ,IN,NNP,NN,48,1,0.0,1.0,0.0,0,0,vague
VBD,VBZ,NNP,.,NNP,CD,4,0,0.0,0.0,0.0,0,0,vague
VBD,VBD,NNP,.,NNP,NN,37,0,0.0,0.0,0.0,0,0,vague
VBZ,VBN,NNP,CD,NN,IN,13,0,0.0,0.0,0.0,1,0,vague
VBZ,VBN,NNP,CD,RB,TO,27,0,0.0,0.0,0.0,0,0,vague
VBZ,VB,NNP,CD,TO,IN,29,0,0.0,0.0,0.0,0,0,vague
VBN,VBN,NN,IN,RB,TO,14,0,0.0,0.0,0.0,0,0,after
VBN,VBD,NN,IN,NNP,NN,20,0,0.0,0.0,0.0,0,0,vague
VBN,VBD,RB,TO,NNP,NN,6,0,0.0,0.0,0.0,0,0,vague
VB,VBD,TO,IN,NNP,NN,4,0,0.0,0.0,0.0,0,0,vague
VBN,VBG,RB,RB,VBP,NNP,24,0,0.0,0.0,0.0,0,0,before
VBN,VB,RB,RB,TO,.,28,0,0.0,0.0,0.0,0,0,before
VBZ,VBG,NN,JJ,VBP,NNP,11,0,0.0,0.0,0.0,0,0,vague
VBZ,VB,NN,JJ,TO,.,15,0,0.0,0.0,0.0,0,0,vague
VBG,VB,VBP,NNP,TO,.,4,0,0.0,0.0,0.0,0,0,before
VBZ,VBZ,RB,PRP$,PRP,NNS,11,0,0.0,0.0,0.0,0,0,vague
VBZ,VBP,RB,PRP$,WP,NN,14,0,0.0,0.0,0.0,0,0,vague
VBD,VBZ,CC,PRP,PRP,NNS,3,0,0.0,0.0,0.0,0,0,vague
VBD,VBP,CC,PRP,WP,NN,6,0,0.0,0.0,0.0,0,0,vague
VBZ,VBG,PRP,NNS,NNS,DT,6,0,0.0,0.0,0.0,1,0,vague
VBZ,VB,PRP,NNS,VB,PRP,19,1,0.0,0.0,0.0,0,0,vague
VBZ,VBD,PRP,NNS,PRP,.,28,1,0.0,0.0,0.0,0,0,vague
VBP,VB,WP,NN,VB,PRP,16,1,0.0,0.0,0.0,0,0,vague
VBP,VBD,WP,NN,PRP,.,25,1,0.0,0.0,0.0,0,0,vague
VBG,VB,NNS,DT,VB,PRP,13,1,0.0,0.0,0.0,0,0,before
VBG,VBD,NNS,DT,PRP,.,22,1,0.0,0.0,0.0,0,0,before
VBN,VBG,NN,IN,TO,DT,11,0,0.0,0.0,0.0,0,0,vague
VBN,VBD,NN,IN,CC,RP,18,0,0.0,0.0,0.0,0,0,vague
VBN,VB,NN,IN,TO,NNP,28,1,0.0,1.0,0.0,0,0,vague
VBN,VB,NN,IN,TO,DT,35,1,0.0,1.0,0.0,0,0,vague
VBN,VB,NN,IN,TO,DT,50,1,0.0,1.0,0.0,0,0,vague
VBD,VBG,",",JJ,TO,DT,3,0,0.0,0.0,0.0,1,0,before
VBD,VB,",",JJ,MD,RB,16,1,0.0,1.0,0.0,1,0,vague
VBD,VB,",",JJ,TO,NNP,20,1,0.0,1.0,0.0,0,0,before
VBD,VBD,",",JJ,NN,JJ,39,1,0.0,1.0,0.0,0,0,vague
VBD,VB,",",JJ,TO,DT,42,1,0.0,1.0,0.0,0,0,before
VBG,VBD,TO,DT,CC,RP,7,0,0.0,0.0,0.0,0,0,after
VBG,VB,TO,DT,MD,RB,13,1,0.0,1.0,0.0,1,0,vague
VBG,VB,TO,DT,TO,NNP,17,1,0.0,1.0,0.0,0,0,before
VBG,VBD,TO,DT,WP,TO,22,1,0.0,1.0,0.0,0,0,vague
VBG,VBD,TO,DT,NN,JJ,36,1,0.0,1.0,0.0,0,0,vague
VBG,VB,TO,DT,TO,DT,39,1,0.0,1.0,0.0,1,0,before
VBD,VB,CC,RP,MD,RB,6,1,0.0,1.0,0.0,0,0,vague
VBD,VB,CC,RP,TO,NNP,10,1,0.0,1.0,0.0,0,0,before
VBD,VBD,CC,RP,NN,JJ,29,1,0.0,1.0,0.0,0,0,vague
VBD,VB,CC,RP,TO,DT,32,1,0.0,1.0,0.0,0,0,before
VBG,VB,IN,PRP,MD,RB,3,1,0.0,0.0,0.0,0,0,vague
VBG,VBD,IN,PRP,WP,TO,12,1,0.0,0.0,0.0,0,0,vague
VB,VB,MD,RB,TO,NNP,4,0,0.0,0.0,0.0,0,0,vague
VB,VBD,MD,RB,NN,JJ,23,0,0.0,0.0,0.0,0,0,after
VB,VB,MD,RB,TO,DT,26,0,0.0,0.0,0.0,0,0,vague
VB,VBD,TO,NNP,WP,TO,5,0,0.0,0.0,0.0,0,0,vague
VB,VBD,TO,NNP,NN,JJ,19,0,0.0,0.0,0.0,0,0,vague
VBD,VB,WP,TO,TO,DT,17,0,0.0,0.0,0.0,0,0,vague
VB,VB,TO,DT,TO,DT,15,0,0.0,0.0,0.0,0,0,before
VBD,VB,NN,JJ,TO,DT,3,0,0.0,0.0,0.0,0,0,vague
VBD,VBN,",",DT,VBP,PRP,15,0,0.0,0.0,0.0,0,0,after
VBD,VBD,",",DT,NN,VBN,29,0,0.0,0.0,0.0,0,0,before
VBD,VBD,",",DT,PRP,IN,34,0,0.0,0.0,0.0,0,0,before
VBD,VBN,",",DT,VBD,DT,39,0,0.0,0.0,0.0,0,0,before
VBN,VB,VBP,PRP,TO,JJ,3,0,0.0,0.0,0.0,0,0,before
VBN,VBD,VBP,PRP,NN,VBN,14,0,0.0,0.0,0.0,0,0,before
VBN,VBD,VBP,PRP,PRP,IN,19,0,0.0,0.0,0.0,0,0,before
VBN,VBN,VBP,PRP,VBD,DT,24,0,0.0,0.0,0.0,0,0,before
VBD,VBD,NN,VBN,PRP,IN,5,0,0.0,0.0,0.0,0,0,simultaneous
VBD,VBN,NN,VBN,VBD,DT,10,0,0.0,0.0,0.0,0,0,after
VBD,VBN,PRP,IN,VBD,DT,5,0,0.0,0.0,0.0,0,0,after
VBN,VBN,VBG,DT,CC,DT,8,0,0.0,0.0,0.0,0,0,simultaneous
VBN,VBP,VBG,DT,RB,:,15,0,0.0,0.0,0.0,0,0,before
VBN,VBP,CC,DT,RB,:,7,0,0.0,0.0,0.0,0,0,before
VBN,VBD,VBG,",",NNP,.,5,0,0.0,0.0,0.0,0,0,before
VBN,VBZ,VBG,",",PRP,DT,9,0,0.0,0.0,0.0,0,0,vague
VBN,VBZ,VBG,",",PRP,IN,16,0,0.0,0.0,0.0,1,0,vague
VBN,VBZ,VBG,",",WP,DT,33,0,0.0,0.0,0.0,0,0,vague
VBD,VBZ,NNP,.,PRP,DT,4,0,0.0,0.0,0.0,0,0,vague
VBD,VBZ,NNP,.,PRP,IN,11,0,0.0,0.0,0.0,0,0,vague
VBD,VBZ,NNP,.,WP,DT,28,0,0.0,0.0,0.0,0,0,vague
VBZ,VBZ,PRP,DT,WP,DT,24,0,0.0,0.0,0.0,0,0,vague
VBZ,VBZ,PRP,IN,WP,DT,17,0,0.0,0.0,0.0,0,0,vague
VB,VBN,MD,TO,VBZ,DT,18,0,0.0,0.0,0.0,0,0,after
VB,VBZ,MD,TO,CC,DT,24,0,0.0,0.0,0.0,0,0,after
VB,VBN,MD,TO,NN,IN,27,0,0.0,0.0,0.0,0,0,vague
VBZ,VBN,",",DT,NN,IN,15,0,0.0,0.0,0.0,0,0,vague
VBN,VBZ,VBZ,DT,CC,DT,6,0,0.0,0.0,0.0,0,0,vague
